变量名,中文批注
SubjectID,受试者唯一编号：用于匹配不同数据表（AE、CM等）的主键；分析中不作为协变量
SiteID,中心编号：标识受试者所在临床中心，可用于多中心分层分析或作为随机效应
ConsentDate,知情同意签署日期：用于核查是否在治疗前签署
EnrollDate,入组日期：可用于分析入组速度或计算等待时间
RandDate,随机化日期：多组试验中确认分组时间；单臂时可忽略
TreatmentStart,首次给药日期：生存时间起点常用此日期
FollowUpCutoff,数据锁定日期（随访截止）：计算删失时间时的终点
Sex,性别：常作为协变量或亚组分析因子
Age,年龄：IPI组成部分；直接作为建模协变量
Race,种族：用于亚组分析或调整混杂因素
Height_cm,身高（厘米）：用于计算BMI，与药代动力学相关
Weight_kg,体重（千克）：用于计算BMI，与药代动力学相关
BMI,体质指数：营养状况评估，可作为协变量
SmokingHistory,吸烟史：探索性协变量，与预后可能相关
AlcoholHistory,饮酒史：探索性协变量，与预后可能相关
DiagnosisDate,诊断日期：用于计算从诊断到入组的时间
AnnArborStage,Ann Arbor分期：IPI组成部分，重要预后因子
ECOG,体能状态评分：IPI组成部分，预后重要指标
LDH_high,LDH是否高于正常上限：IPI组成部分
ExtranodalSites,结外受累部位数：IPI组成部分
B_symptoms,B症状有无：预后因子（发热、盗汗、体重下降）
BulkyDisease,肿块≥7.5cm：预后因子，亚组分析常用
Beta2M,β2-微球蛋白水平：生物标志物，与预后相关
Ki67,Ki-67增殖指数：肿瘤细胞增殖活性，预后相关
CellOrigin,细胞来源：GCB或non-GCB，分子分型
GeneticStatus,基因状态：无、双击或三击，预后因子
IPI_score,国际预后指数总分：常用于分层或模型调整
Hb_BL,基线血红蛋白：反映贫血状态，与预后和毒性相关
WBC_BL,基线白细胞计数：骨髓功能指标
PLT_BL,基线血小板计数：出血风险评估
NEU_BL,基线中性粒细胞数：免疫状态评估
ALT_BL,基线谷丙转氨酶：肝功能指标
AST_BL,基线谷草转氨酶：肝功能指标
TBIL_BL,基线总胆红素：肝功能指标
ALB_BL,基线白蛋白：营养与肝功能状况
Cr_BL,基线肌酐：肾功能指标
LDH_BL,基线乳酸脱氢酶：肿瘤负荷指标
CD4_BL,基线CD4细胞数：免疫状态
CD8_BL,基线CD8细胞数：免疫状态
IgG_BL,基线免疫球蛋白G：免疫功能
IgM_BL,基线免疫球蛋白M：免疫功能
IgA_BL,基线免疫球蛋白A：免疫功能
NumCycles,治疗周期数：反映治疗强度和依从性
CumDose_Copanlisib,Copanlisib累计剂量：药物暴露量分析
CumDose_Rituximab,Rituximab累计剂量：药物暴露量分析
DoseReduction,是否减量：反映耐受性或毒性
DelayOccurred,是否延迟给药：反映耐受性或毒性
TreatmentDiscontinueReason,停止治疗原因：AE、不良反应、进展等
BestResponse,最佳缓解状态：CR、PR、SD、PD，用于ORR、DCR分析
PFS_time,无进展生存时间（月）：生存分析时间变量
PFS_event,无进展事件标记（1=事件，0=删失）：生存分析事件变量
OS_time,总生存时间（月）：生存分析时间变量
OS_event,总生存事件标记（1=事件，0=删失）：生存分析事件变量
ARM,治疗方案名称：COPA-R-CHOP或R-CHOP，用作分组因子
ARMCD,治疗方案代码：简短编码，如COPAR或RCHOP
